City,Household_Size,Seasonal_Index,Garden_Area,Avg_Rainfall,Household_Income,Previous_Day_Usage,City_Population,Daily_Water_Used,Avg_Water_Table,Suitability
Pune,3,1.105,179.345,650,66700,271.4,7300000,266.357,520,Suitable
Chennai,4,0.5,93.1,1400,69900,125.583,11000000,122.5,1120,Suitable
Jaipur,2,,19.8,550,97900,124.016,3500000,,440,Suitable
Kolkata,2,1.05,44.33,1600,40000,219.8,14800000,219.946,1280,Suitable
Pune,1,1.14,136.012,650,82300,256.036,7300000,257.69,520,Suitable
Lucknow,2,0.6,119.406,1000,50300,185.71,4500000,188.22,800,Suitable
Bangalore,1,1.29,75.45,900,,169.02,12000000,172.5,720,Suitable
Pune,6,0.68,120.58,650,71500,287.9,7300000,284.87,520,Suitable
Jaipur,2,1.06,90.018,550,40800,102.8,3500000,112.5,440,Suitable
Kolkata,2,0.52,90.644,1600,60100,205.1,14800000,205.47,1280,Suitable
Chennai,5,0.9,86.141,1400,148000,120.31,11000000,117.3,1120,Suitable
Jaipur,2,1.2,15.8,550,107600,163.663,3500000,159.4,440,Suitable
Jaipur,5,1.3,150.696,550,83400,250.8,3500000,255.78,440,Suitable
Bangalore,1,0.78,191.97,900,30500,110.29,12000000,115.32,720,Suitable
Hyderabad,3,0.857,96.9,850,136300,163.383,10000000,157.6,680,Suitable
Kolkata,4,1.407,185.5,1600,134500,286.747,14800000,,1280,Suitable
Mumbai,3,0.682,140.2,2200,21800,226.35,20400000,218.1,1760,Suitable
Jaipur,5,0.7,172.2,550,54000,198.62,,198.48,440,Suitable
Hyderabad,5,0.64,45.178,850,46900,209.97,10000000,205.93,680,Suitable
Mumbai,2,0.7,168.91,2200,,123,20400000,131.486,1760,Suitable
Kolkata,6,1.4,30.8,1600,40900,168.392,14800000,172.1,1280,Suitable
Delhi,5,0.62,153.2,800,27700,298.3,19000000,287.9,640,
Lucknow,1,0.9,17,1000,116000,269.92,4500000,270.3,800,Suitable
Hyderabad,5,1.277,27.8,850,90300,,10000000,238.115,680,
Ahmedabad,6,0.61,122.3,600,100000,138.53,8000000,138.3,480,Suitable
