City,Household_Size,Seasonal_Index,Garden_Area,Avg_Rainfall,Household_Income,Previous_Day_Usage,City_Population,Daily_Water_Used,Avg_Water_Table,Suitability
Pune,3.0,1.105,179.345,650.0,66700.0,271.4,7300000.0,266.357,520.0,Suitable
Chennai,4.0,0.5,93.1,1400.0,69900.0,125.583,11000000.0,122.5,1120.0,Suitable
Jaipur,2.0,,19.8,550.0,97900.0,124.016,3500000.0,,440.0,Suitable
Kolkata,2.0,1.05,44.33,1600.0,40000.0,219.8,14800000.0,219.946,1280.0,Suitable
Pune,1.0,1.14,136.012,650.0,82300.0,256.036,7300000.0,257.69,520.0,Suitable
Lucknow,2.0,0.6,119.406,1000.0,50300.0,185.71,4500000.0,188.22,800.0,Suitable
Bangalore,1.0,1.29,75.45,900.0,,169.02,12000000.0,172.5,720.0,Suitable
Pune,6.0,0.68,120.58,650.0,71500.0,287.9,7300000.0,284.87,520.0,Suitable
Jaipur,2.0,1.06,90.018,550.0,40800.0,102.8,3500000.0,112.5,440.0,Suitable
Kolkata,2.0,0.52,90.644,1600.0,60100.0,205.1,14800000.0,205.47,1280.0,Suitable
Chennai,5.0,0.9,86.141,1400.0,148000.0,120.31,11000000.0,117.3,1120.0,Suitable
Jaipur,2.0,1.2,15.8,550.0,107600.0,163.663,3500000.0,159.4,440.0,Suitable
Jaipur,5.0,1.3,150.696,550.0,83400.0,250.8,3500000.0,255.78,440.0,Suitable
Bangalore,1.0,0.78,191.97,900.0,30500.0,110.29,12000000.0,115.32,720.0,Suitable
Hyderabad,3.0,0.857,96.9,850.0,136300.0,163.383,10000000.0,157.6,680.0,Suitable
Kolkata,4.0,1.407,185.5,1600.0,134500.0,286.747,14800000.0,,1280.0,Suitable
Mumbai,3.0,0.682,140.2,2200.0,21800.0,226.35,20400000.0,218.1,1760.0,Suitable
Jaipur,5.0,0.7,172.2,550.0,54000.0,198.62,,198.48,440.0,Suitable
Hyderabad,5.0,0.64,45.178,850.0,46900.0,209.97,10000000.0,205.93,680.0,Suitable
Mumbai,2.0,0.7,168.91,2200.0,,123.0,20400000.0,131.486,1760.0,Suitable
Kolkata,6.0,1.4,30.8,1600.0,40900.0,168.392,14800000.0,172.1,1280.0,Suitable
Delhi,5.0,0.62,153.2,800.0,27700.0,298.3,19000000.0,287.9,640.0,
